Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Purple Haze,Do [sword]<d6> damage|Inflict [poison]1 poison,1,attack(d); sfxdamage(target[;] d); inflict(POISON);,Poison Arrow,NORMAL|NORMAL,,RED,change_power,complicate,,_poison,0,NO,NO,,1,,,,,,,,,,,
Purple Haze_upgraded,Do [sword]<d6> damage|Inflict [poison]2 poison,1,attack(d); sfxdamage(target[;] d); inflict(POISON[;] 2);,Poison Arrow,NORMAL|NORMAL,,RED,,,,_poison,0,NO,NO,,,,,,,,,,,,,
Dark Arts,Do [sword]<d6> damage|Curse enemy,1,attack(d); sfxdamage(target[;] d); inflict(CURSE);,Cackle,ODD,,PURPLE,simplify,change_power,,_curse,0,NO,NO,,1,,,,,,,,,,,
Dark Arts_downgraded,Do [sword]<d6> damage|Curse enemy,1,attack(d); sfxdamage(target[;] d); inflict(CURSE);,Cackle,MAX3,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Hexahedron,Do [sword]<d6> damage|Curse enemy,1,attack(d); sfxdamage(target[;] d); inflict(CURSE);,Cackle,NORMAL|NORMAL,,RED,change_power,complicate,,_curse,0,NO,NO,,1,,,,,,,,,,,
Hexahedron_upgraded,Do [sword]<d6> damage|Curse enemy,1,attack(d); sfxdamage(target[;] d); inflict(CURSE);,Cackle,NORMAL|NORMAL,,RED,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Sheer Fear,Do [sword]<d6> damage|Silence Enemy,1,attack(d); sfxdamage(target[;] d); inflict(SILENCE);,Stardust,ODD,,PURPLE,simplify,change_power,,_silence,0,NO,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Sheer Fear_downgraded,Do [sword]<d6> damage|Silence Enemy,1,attack(d); sfxdamage(target[;] d); inflict(SILENCE);,Stardust,MAX3,,PURPLE,,,,_silence,0,NO,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Gatekeeper,Do [sword]<d6> damage|Lock [lock]1 dice,1,attack(d); sfxdamage(target[;] d); inflict(LOCK);,Lockdown,ODD,,PURPLE,simplify,change_power,,_lock,0,NO,NO,,1,,,,,,,,,,,
Gatekeeper_downgraded,Do [sword]<d6> damage|Lock [lock]1 dice,1,attack(d); sfxdamage(target[;] d); inflict(LOCK);,Lockdown,MAX3,,PURPLE,,,,_lock,0,NO,NO,,,,,,,,,,,,,
Obliteration,Do [sword]4 damage,1,attack(4); sfxdamage(target[;] 4);,Pea Gun,NORMAL,,PURPLE,change_power,complicate,,_magic,0,NO,NO,,1,,,,,,,,,,,
Obliteration_upgraded,Do [sword]5 damage,1,attack(5); sfxdamage(target[;] 5);,Pea Gun,NORMAL,,PURPLE,,,,_magic,0,NO,NO,,,,,,,,,,,,,
Eternal Eclipse,Hide all health bars|[gray](once per battle),2,if (!simulation) {inflict(~cannotseeenemyhealth~); inflictself(~cannotseeenemyhealth~); runscript(~megaquest/getrules~).lowhpmusic = false;} else bonus(1000);,Cackle,COUNTDOWN,20,PURPLE,halfcountdown,change_power,,_blind,0,NO,YES,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Eternal Eclipse_downgraded,Hide your health bar|[gray](once per battle),2,inflictself(~cannotseeenemyhealth~); bonus(1000);,Cackle,COUNTDOWN,20,PURPLE,,,,_blind,0,YES,YES,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Fangs,Do [shock]<slotdoubles> + 3 damage|Inflict [shock]2 shock,2,attack(d + 3[;] SHOCK); sfxdamage(target[;] d + 3); inflict(SHOCK[;] 2);,Static Shock,DOUBLES|DOUBLES,,YELLOW,change_power,change_power,,_shock,0,NO,NO,,,,,,,,,,,,,
Fangs_upgraded,Do [shock]<slotdoubles> + 4 damage|Inflict [shock]2 shock,2,attack(d + 4[;] SHOCK); sfxdamage(target[;] d + 4); inflict(SHOCK[;] 2);,Static Shock,DOUBLES|DOUBLES,,YELLOW,,,,_shock,0,NO,NO,,,,,,,,,,,,,
Fangs_downgraded,Do [sword]<slotdoubles> + 3 damage,2,attack(d + 3); sfxdamage(target[;] d + 3);,Static Shock,DOUBLES|DOUBLES,,YELLOW,,,,_shock,0,NO,NO,,,,,,,,,,,,,
Cursed Bite,Replace enemy equipment|with your equipment,2,inflict(~mqdirewolfcurse~);,Reversal,REQUIRE5,,PURPLE,change_power,doublerequirements,,_curse,0,NO,NO,,,,,,,,,,,,,
Cursed Bite_upgraded,Replace enemy equipment|with your equipment,2,inflict(~mqdirewolfcurse~);,Reversal,REQUIRE1,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Empyrean Blaster,Do [fire]4 damage|Burn [fire]1 on countdown,1,attack(4[;] FIRE); sfxdamage(target[;] 4);,Blowtorch,COUNTDOWN,4,RED,change_power,change_power,,_fire,0,NO,NO,,,,,,,,if (e.getvar(~checkedcountdowntriggerdice~).length == null) e.setvar(~checkedcountdowntriggerdice~[;] []); if (e.dicehistory.length > 0 && e.getvar(~checkedcountdowntriggerdice~).indexOf(e.dicehistory[e.dicehistory.length - 1]) == -1) {e.getvar(~checkedcountdowntriggerdice~).push(e.dicehistory[e.dicehistory.length - 1]); e.animate(~flashandshake~); inflict(FIRE); sfx(~_fire~);},,,,,
Empyrean Blaster_upgraded,Do [fire]5 damage|Burn [fire]1 on countdown,1,attack(5[;] FIRE); sfxdamage(target[;] 5);,Blowtorch,COUNTDOWN,5,RED,,,,_fire,0,NO,NO,,,,,,,,if (e.getvar(~checkedcountdowntriggerdice~).length == null) e.setvar(~checkedcountdowntriggerdice~[;] []); if (e.dicehistory.length > 0 && e.getvar(~checkedcountdowntriggerdice~).indexOf(e.dicehistory[e.dicehistory.length - 1]) == -1) {e.getvar(~checkedcountdowntriggerdice~).push(e.dicehistory[e.dicehistory.length - 1]); e.animate(~flashandshake~); inflict(FIRE); sfx(~_fire~);},,,,,
Empyrean Blaster_downgraded,Do [fire]4 damage|Burn [fire]1 dice,1,attack(4[;] FIRE); sfxdamage(target[;] 4); inflict(FIRE);,Blowtorch,COUNTDOWN,4,RED,,,,_fire,0,NO,NO,,,,,,,,if (e.getvar(~checkedcountdowntriggerdice~).length == null) e.setvar(~checkedcountdowntriggerdice~[;] []); if (e.dicehistory.length > 0 && e.getvar(~checkedcountdowntriggerdice~).indexOf(e.dicehistory[e.dicehistory.length - 1]) == -1) {e.getvar(~checkedcountdowntriggerdice~).push(e.dicehistory[e.dicehistory.length - 1]);},,,,,
Pumpkin Helmet,Add [shield]<d6> shield|On 5[;] curse yourself,1,inflictself(SHIELD[;] d); if (d == 5) {inflictself(CURSE); sfx(~_curse~[;] ~~[;] 0.2);},Protection,ODD,,ORANGE,change_power,change_power,,_shield,0,YES,NO,,,,,,,,,,,,,
Pumpkin Helmet_upgraded,Add [shield]<d6> shield|On 5[;] curse everyone,1,inflictself(SHIELD[;] d); if (d == 5) {inflictself(CURSE); inflict(CURSE); sfx(~_curse~[;] ~~[;] 0.2);},Protection,ODD,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Pumpkin Helmet_downgraded,Add [shield]<d6> shield|Curse yourself,1,inflictself(SHIELD[;] d); inflictself(CURSE); sfx(~_curse~[;] ~~[;] 0.2);,Protection,ODD,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Jumpscare Button,Inflict [curse]3 curse|[gray](once per battle),1,inflict(CURSE[;] 6);,Cackle,ODD,,PURPLE,change_power,doublerequirements,,_curse,0,NO,YES,,,,,,,,,,,,,
Jumpscare Button_upgraded,Inflict [curse]6 curse|[gray](once per battle),1,inflict(CURSE[;] 6);,Cackle,ODD,,PURPLE,,,,_curse,0,NO,YES,,,,,,,,,,,,,
Phasmophobia,Curse self[;]|get a new dice,1,inflictself(CURSE); givedice();,Magic Dice,NORMAL,,PURPLE,change_power,change_power,,_curse,0,YES,NO,,1,,,,,,,,,,,
Phasmophobia_upgraded,Curse self[;] reroll dice|[gray](Reuseable),1,inflictself(CURSE); givedice();,Magic Dice,NORMAL,,PURPLE,,,,_curse,2,YES,NO,,,,,,,,,,,,,
Phasmophobia_downgraded,Curse self twice[;]|get a new dice,1,inflictself(CURSE[;] 2); givedice();,Magic Dice,NORMAL,,PURPLE,,,,_curse,0,YES,NO,,,,,,,,,,,,,
Selenophobia,+1 dice this fight|+1 curse to self each turn,1,self.extradice++; if (simulation) {jinx(~Selenophobia~[;] ~curse self~[;] ~Curse self~[;] ~inflict(CURSE); sfx(\~_curse\~);~[;] self[;] target[;] 1[;] 0);} else {runscript(~megaquest/repeatingjinx~[;] [~Selenophobia~[;] ~curse self~[;] ~Curse self~[;] ~inflict(CURSE); sfx(\~_curse\~);~[;] self[;] target[;] 1[;] 0]);},Clone Device,EVEN,,PURPLE,simplify,complicate,,magic_gaindice,0,YES,NO,,1,,,,,,,,,,,
Cursed Image,Curse enemy[;]|roll a 6,1,inflict(CURSE); givedice(6);,Upgraded Six,REQUIRE3,,PURPLE,change_power,change_power,,_curse,0,NO,NO,,,,,,,,,,,,,givedice(6);
Cursed Image_upgraded,Curse enemy[;]|roll a 7,1,inflict(CURSE); givedice([7]); if (!simulation) runscript(~megaquest/specialdice~[;] [self]);,Upgraded Six,REQUIRE6,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,givedice([7]); runscript(~megaquest/specialdice~[;] [self]);
Cursed Image_downgraded,Curse enemy,1,inflict(CURSE);,Upgraded Six,REQUIRE3,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Demon Incarnate,Do [sword]12 damage[;] easier to|play when you are cursed,2,attack(12); sfxdamage(target[;] 12); if (getstatusself(CURSE) > 0) sfx(~_curse~);,Catapult,REQUIRE6|REQUIRE6,,PURPLE,change_power,change_power,,none,0,NO,NO,,,inflictself(~mqequipmentchangeswhencursed~);,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots());,,,,,,,,
Demon Incarnate_upgraded,Do [sword]13 damage[;] easier to|play when you are cursed,2,attack(13); sfxdamage(target[;] 13); if (getstatusself(CURSE) > 0) sfx(~_curse~);,Catapult,REQUIRE6|REQUIRE6,,PURPLE,,,,none,0,NO,NO,,,inflictself(~mqequipmentchangeswhencursed~);,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots());,,,,,,,,
Demon Incarnate_downgraded,Do [sword]6 damage[;] easier to|play when you are cursed,2,attack(6); sfxdamage(target[;] 6); if (getstatusself(CURSE) > 0) sfx(~_curse~);,Catapult,REQUIRE6|REQUIRE6,,PURPLE,,,,none,0,NO,NO,,,inflictself(~mqequipmentchangeswhencursed~);,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots());,,,,,,,,
Spookknife,Do [sword]<d6> damage|Reuseable if you are cursed,1,attack(d); sfxdamage(target[;] d);,Protection,MAX4,,ORANGE,increaserange,decreaserange,,_metals,0,NO,NO,,,inflictself(~mqequipmentchangeswhencursed~);,,e.reuseable = 0; e.usesleft = 0; e.reuseableanimation = 0; e.tempreuseableequipment = []; e.fulldescription = new elements.Equipment(e.name + e.namemodifier).fulldescription; var split = e.fulldescription.split(~#~.substr(0[;] 1)); e.overwritefinalline = split[split.length - 1];,,,,,,,,
Bottled Message,Gain a blessing|or a curse,1,if (!simulation) {if (chance(50) runscript(~megaquest/delaycall~[;] [function (args) {new elements.Skill(~Power Up~).execute(args[0][;] args[1]);}[;] 1 / 60[;] self[;] target]); else {inflictself(CURSE); sfx(~_curse~);}} else bonus(1000);,Power Up,ODD,,GREEN,simplify,complicate,,none,0,YES,NO,,,,,,,,,,,,,
Exhaust Pipe,Burn [fire]<d6> dice|On 3[;] curse enemy,2,inflict(FIRE[;] d); if (d == 3) {inflict(CURSE); sfx(~_curse~[;] ~~[;] 0.2);},Blowtorch,MAX3,,RED,change_power,change_power,,_fire,0,NO,NO,,,,,,,,,,,,,
Exhaust Pipe_upgraded,Burn [fire]<d6> dice|On 4[;] curse enemy,2,inflict(FIRE[;] d); if (d == 4) {inflict(CURSE); sfx(~_curse~[;] ~~[;] 0.2);},Blowtorch,MAX3,,RED,,,,_fire,0,NO,NO,,,,,,,,,,,,,
Exhaust Pipe_downgraded,Burn [fire]<d6> dice,2,inflict(FIRE[;] d);,Blowtorch,MAX3,,RED,,,,_fire,0,NO,NO,,,,,,,,,,,,,
Spider Nest,[sword]<double> dmg + [curse]1 curse|[gray](Reuseable),1,attack(d * 2); sfxdamage(target[;] d * 2); inflict(CURSE);,Cackle,REQUIRE1,,PURPLE,increaserange,doublerequirements,,_curse,-1,NO,NO,,,,,,,,,,,,,
Corruptor Field,[sword]<d6> damage + [curse]1 curse|Better when [shield]shielded,1,attack(d); sfxdamage(target[;] d); inflict(CURSE);,Zap,REQUIRE1,,PURPLE,increaserange,change_power,,_curse,0,NO,NO,,,,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots()); e.setvar(~reflector_field~[;] 0);,if (getstatusself(SHIELD) > 0 && e.getvar(~reflector_field~) == 0) {e.setvar(~reflector_field~[;] 1); runscript(~megaquest/makeequipmenteasiertoplay~[;] [e[;] 2]);},if (getstatusself(SHIELD) > 0 && e.getvar(~reflector_field~) == 0) {e.setvar(~reflector_field~[;] 1); runscript(~megaquest/makeequipmenteasiertoplay~[;] [e[;] 2]);},if (getstatusself(SHIELD) > 0 && e.getvar(~reflector_field~) == 0) {e.setvar(~reflector_field~[;] 1); runscript(~megaquest/makeequipmenteasiertoplay~[;] [e[;] 2]);},,,,,
Corruptor Field_downgraded,Do [sword]<d6> damage|Curse enemy,1,attack(d); sfxdamage(target[;] d); inflict(CURSE);,Zap,REQUIRE1,,PURPLE,,,,_curse,0,NO,NO,,,,,e.changeslots(new elements.Equipment(e.name + e.namemodifier).getslots()); e.setvar(~reflector_field~[;] 0);,,,,,,,,
Vile Growth,Gain [reduce]1 reduce|and [curse]1 curse,1,inflictself(REDUCE); inflictself(CURSE);,Protection,ODD,,PURPLE,change_power,change_power,,_curse,0,YES,NO,,,,,,,,,,,,,
Vile Growth_upgraded,Gain [reduce]2 reduce|and [curse]2 curse,1,inflictself(REDUCE[;] 2); inflictself(CURSE[;] 2);,Protection,ODD,,PURPLE,,,,_curse,0,YES,NO,,,,,,,,,,,,,
Vile Growth_downgraded,Gain [reduce]1 reduce|or [curse]1 curse,1,if (chance(50)) {inflictself(REDUCE); sfx(~_shield~);} else {inflictself(CURSE); sfx(~_curse~);},Protection,ODD,,PURPLE,,,,none,0,YES,NO,,,,,,,,,,,,,
Dreary Fog,Convert ALL statuses|to curse,1,if (!simulation) {var curses = 0; if (self.status.length > 0) for (status in self.status.copy()) if (!status.invisible) {curses += status.value; self.removestatus(status.type);} inflictself(CURSE[;] curses); curses = 0; if (target.status.length > 0) for (status in target.status.copy()) if (!status.invisible) {curses += status.value; target.removestatus(status.type);} inflict(CURSE[;] curses);} else {inflict(CURSE[;] 5); inflictself(CURSE[;] 5);},Cackle,NORMAL,,PURPLE,change_power,change_power,,_curse,0,NO,NO,,1,,,,,,,,,,,
Dreary Fog_upgraded,Convert enemy statuses|to curse,1,if (!simulation) {var curses = 0; if (target.status.length > 0) for (status in target.status.copy()) if (!status.invisible) {curses += status.value; target.removestatus(status.type);} inflict(CURSE[;] curses);} else {inflict(CURSE[;] 5); inflictself(CURSE[;] 5);},Cackle,NORMAL,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Dreary Fog_downgraded,Convert your statuses|to curse,1,if (!simulation) {var curses = 0; if (self.status.length > 0) for (status in self.status.copy()) if (!status.invisible) {curses += status.value; self.removestatus(status.type);} inflictself(CURSE[;] curses);} else {inflict(CURSE[;] 5); inflictself(CURSE[;] 5);},Cackle,NORMAL,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Grave Mistake,Give enemy a <d6>|and curse them,1,inflict(~stash~ + d); inflict(CURSE);,Cackle,EVEN,,PURPLE,simplify,complicate,,_curse,0,NO,NO,,,,,,,,,,,,,
Backfire@mqmimicremix,Lose [heart]5 health,1,pierceattackself(5); sfxdamage(self[;] 5);,Infinity Mirror,REQUIRE1,,PURPLE,change_backfire,change_power,,_curse,0,YES,NO,,1,,,,,,,,,,,
Backfire@mqmimicremix_downgraded,Lose [heart]15 health,1,pierceattackself(15); sfxdamage(self[;] 5);,Infinity Mirror,REQUIRE1,,PURPLE,,,,_curse,0,YES,NO,,,,,,,,,,,,,
Backfire@mqmimicremix_weakened,Lose [heart]15 health,1,pierceattackself(15); sfxdamage(self[;] 5);,Infinity Mirror,REQUIRE1,,PURPLE,,,,_curse,0,YES,NO,,,,,,,,,,,,,
Backfire@mqmimicremix_upgraded,Lose [heart]10 health,1,pierceattackself(10); sfxdamage(self[;] 5);,Infinity Mirror,REQUIRE1,,PURPLE,,,,_curse,0,YES,NO,,,,,,,,,,,,,
Gasoline,Do [fire]<d6> damage per|[fire]Burn on the enemy,2,var dmg = d * getstatus(FIRE); attack(dmg[;] FIRE); sfxdamage(target[;] dmg);,Blowtorch,MAX3,,RED,increaserange,decreaserange,,_fire,0,NO,NO,,,,,,,,,,,,,
Horn,Add [shield]<d6> shield[;]|get a new dice,1,inflictself(SHIELD[;] d); givedice();,Protection,MAX4,,ORANGE,increaserange,change_power,,_shield,0,YES,NO,,,,,,,,,,,,,
Horn_downgraded,Add [shield]<d6> shield,1,inflictself(SHIELD[;] d);,Protection,MAX4,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Haunting Laugh,Curse enemy[;] double|if you are cursed,2,inflict(CURSE[;] getstatusself(CURSE) > 0 ? 2 : 1);,Cackle,EVEN,,PURPLE,change_power,change_power,,_curse,0,NO,NO,,,,,,,,,,,,,
Haunting Laugh_upgraded,Curse enemy[;] triple|if you are cursed,2,inflict(CURSE[;] getstatusself(CURSE) > 0 ? 3 : 1);,Cackle,EVEN,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Haunting Laugh_downgraded,Curse enemy,2,inflict(CURSE);,Cackle,EVEN,,PURPLE,,,,_curse,0,NO,NO,,,,,,,,,,,,,
Dummy Sword,Do [sword]<d6> damage,2,attack(d); sfxdamage(target[;] d);,Broken Gadget,,,RED,,noeffect,,_whooshweapons,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Clock,Do [shock]<d6> damage|Inflict [shock]2 shock,2,attack(d[;] SHOCK); sfxdamage(target[;] d); inflict(SHOCK[;] 2);,Zap,EVEN,,YELLOW,simplify,change_power,,_shock,0,NO,NO,,,,,,,,,,,,,
Clock_downgraded,Do [shock]<d6> damage|Inflict [shock]1 shock,2,attack(d[;] SHOCK); sfxdamage(target[;] d); inflict(SHOCK);,Zap,EVEN,,YELLOW,,,,_shock,0,NO,NO,,,,,,,,,,,,,
Annoying Chatter,Silence Enemy,1,inflict(SILENCE);,Stardust,COUNTDOWN,12,PURPLE,halfcountdown,noeffect,,_silence,0,NO,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Short Fuse,Do [sword]999 damage|in <var:mqshortfuse_max> minutes,2,if (!simulation) runscript(~megaquest/shortfuse~[;] [self[;] target[;] attack[;] sfxdamage[;] sfx]); else bonus(1000); inflictself(~mqshortfuseused~);,Stardust,EVEN,,RED,simplify,complicate,,none,0,NO,NO,excludefromrandomlists|cannotsteal|mqshortfuse,,self.setvar(~mqshortfuse_max~[;] loadtext(~megaquest/options/shortfuse~)[0]);,,,,,,,,,,
Distraction,Reduce Short Fuse|counter by 2x<slotdoubles>,1,if (!simulation) {self.setvar(~mqshortfuse_reduce~[;] self.getvar(~mqshortfuse_reduce~) + d * 2); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.hastag(~mqshortfuse~)) eq.animate(~flashandshake~);} else bonus(getstatusself(~mqshortfuseused~) > 0 ? d * 200 : -1000);,Overdrive,DOUBLES|DOUBLES,,GREEN,change_power,change_power,,_cure,0,YES,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Distraction_upgraded,Short Fuse counter -<slotdoubles>|[gray](Reuseable),1,if (!simulation) {self.setvar(~mqshortfuse_reduce~[;] self.getvar(~mqshortfuse_reduce~) + d); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.hastag(~mqshortfuse~)) eq.animate(~flashandshake~);} else bonus(getstatusself(~mqshortfuseused~) > 0 ? d * 100 : -1000);,Overdrive,NORMAL,,GREEN,,,,_cure,2,YES,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Distraction_downgraded,Reduce Short Fuse|counter by <slotdoubles>,1,if (!simulation) {self.setvar(~mqshortfuse_reduce~[;] self.getvar(~mqshortfuse_reduce~) + d); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.hastag(~mqshortfuse~)) eq.animate(~flashandshake~);} else bonus(getstatusself(~mqshortfuseused~) > 0 ? d * 100 : -1000);,Overdrive,DOUBLES|DOUBLES,,GREEN,,,,_cure,0,YES,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Evil Contraption,Lock [lock]2 dice,1,inflict(LOCK[;] 2);,Lockdown,COUNTDOWN,14,PURPLE,twothirdcountdown,change_power,,_lock,0,NO,NO,,,,,,,,,,,,,
Evil Contraption_downgraded,Lock [lock]1 dice,1,inflict(LOCK[;] 1);,Lockdown,COUNTDOWN,14,PURPLE,,,,_lock,0,NO,NO,,,,,,,,,,,,,
Jester's Gesture,Activate all|equipment for free,2,if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~ && !eq.hastag(~skillcard~) && eq.availablethisturn) runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]);,Free For All,COUNTDOWN,24,ORANGE,threequartercountdown,change_power,,jester_snap,0,YES,NO,,,,,,,,,,,,,
Jester's Gesture_downgraded,Activate one random|equipment for free,2,var alleq = []; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~ && !eq.hastag(~skillcard~) && eq.availablethisturn) alleq.push(eq); alleq = shuffle(alleq); var c = 1; while (alleq.length > 0 && c > 0) {var eq = alleq.pop(); runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]); c--;},Free For All,COUNTDOWN,24,ORANGE,,,,jester_snap,0,YES,NO,,,,,,,,,,,,,
Combat Roll@mqwarrior_vampireslayer,Reroll a dice|[gray](Reuseable),1,givedice();,Random Roll,NORMAL,,GRAY,,,,none,3,YES,NO,skillcard|excludefromrandomlists|cannotsteal|mqwarrior_vampireslayer|curseavoid,,,,,,,,,,,,
Combat Stake@mqwarrior_vampireslayer,Takes final [heart]5 hp|from vampires,1,if (target.hp <= 5 && getstatus(VAMPIRE) > 0) {removestatus(VAMPIRE[;] ALL); attack(target.hp); sfxdamage(target[;] target.hp);} else {attack(5); sfxdamage(target[;] 5); target.textparticle(~No effect!~);},Broken Gadget,COUNTDOWN,40,GRAY,,,,none,0,NO,NO,skillcard|excludefromrandomlists|cannotsteal|mqwarrior_vampireslayer|curseavoid,,,,,,,,,,,,
@mqwarrior_vampireslayerkit,(special),2,,Broken Gadget,,,GRAY,,,,none,0,NO,YES,skillcard|excludefromrandomlists|cannotsteal,,e.usedthisbattle = true; var eq = new elements.Equipment(~Combat Roll@mqwarrior_vampireslayer~); eq.equippedby = self; self.equipment.push(eq); eq = new elements.Equipment(~Combat Stake@mqwarrior_vampireslayer~); eq.equippedby = self; var c = eq.maxcountdown - eq.maxcountdown / 5 * self.dice; eq.maxcountdown -= c; eq.remainingcountdown -= c; eq.countdown -= c; self.equipment.push(eq);,if (self.equipment.length > 0) for (eq in self.equipment.copy()) {if (eq.hastag(~mqwarrior_vampireslayer~)) self.equipment.remove(eq);},,,,,,,,,
Thornstaff,Do [sword]6 damage|Gain [thorns]2 thorns,2,attack(6); sfxdamage(target[;] 6); inflictself(THORNS[;] 2);,Plasma Gun,COUNTDOWN,8,GREEN,change_power,change_power,,_thorns,0,NO,NO,,,,,,,,,,,,,
Thornstaff_upgraded,Do [sword]8 damage|Gain [thorns]2 thorns,2,attack(8); sfxdamage(target[;] 8); inflictself(THORNS[;] 2);,Plasma Gun,COUNTDOWN,8,GREEN,,,,_thorns,0,NO,NO,,,,,,,,,,,,,
Thornstaff_downgraded,Do [sword]3 damage|Gain [thorns]1 thorns,2,attack(3); sfxdamage(target[;] 3); inflictself(THORNS);,Plasma Gun,COUNTDOWN,8,GREEN,,,,_thorns,0,NO,NO,,,,,,,,,,,,,
Hired Blade,Do [sword]<d6> damage|Triple every 3 uses,2,var dmg = d; if ((e.timesused % 3) == 0) dmg *= 3; attack(d); sfxdamage(target[;] d);,Plasma Gun,MAX4,,BRIGHTCYAN,simplify,decreaserange,,_metals,0,NO,NO,,,,,,,,,,,,,
Disc Room,Do [sword]5 damage to random|targets 5 times,2,for (i in 0...5) {var odds = 50; if (getstatusself(~luck~) > 0) odds += 50 * getstatusself(~luck~); if (getstatusself(~luck+~) > 0) odds = 100; var to_me = !chance(odds); if (!simulation) runscript(~megaquest/delaycall~[;] [function (args) {var to_me = args[0]; var eq = runscript(~megaquest/createequipment~[;] [~~[;] false[;] false[;] 3180 / 8 * runscript(~megaquest/math/random~[;] [1[;] 6])[;] to_me ? -618 : 2180 + 618[;] self[;] true]); eq.displayname = ~Disc~; eq.fulldescription = to_me ? ~Do [sword]<d6> damage~ : ~Take [sword]<d6> damage~; eq.script = to_me ? ~attackself(d); sfxdamage(self[;] d);~ : ~attack(d); sfxdamage(target[;] d);~; eq.script += ~sfx(\~_metals\~[;] \~\~[;] 0.2);~; eq.castdirection = to_me ? -1 : 1; eq.changeslots([~REQUIRE5~]); runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]);}[;] i * 0.5[;] to_me]); else {if (to_me) attackself(5); else attack(5);}},Plasma Gun,COUNTDOWN,12,GRAY,change_power,change_power,,_cure,0,NO,NO,,,,,,,,,,,,,
Disc Room_upgraded,Do [sword]5 damage to random|targets 10 times,2,for (i in 0...10) {var odds = 50; if (getstatusself(~luck~) > 0) odds += 50 * getstatusself(~luck~); if (getstatusself(~luck+~) > 0) odds = 100; var to_me = !chance(odds); if (!simulation) runscript(~megaquest/delaycall~[;] [function (args) {var to_me = args[0]; var eq = runscript(~megaquest/createequipment~[;] [~~[;] false[;] false[;] 3180 / 8 * runscript(~megaquest/math/random~[;] [1[;] 6])[;] to_me ? -618 : 2180 + 618[;] self[;] true]); eq.displayname = ~Disc~; eq.fulldescription = to_me ? ~Do [sword]<d6> damage~ : ~Take [sword]<d6> damage~; eq.script = to_me ? ~attackself(d); sfxdamage(self[;] d);~ : ~attack(d); sfxdamage(target[;] d);~; eq.script += ~sfx(\~_metals\~[;] \~\~[;] 0.2);~; eq.castdirection = to_me ? -1 : 1; eq.changeslots([~REQUIRE5~]); runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]);}[;] i * 0.5[;] to_me]); else {if (to_me) attackself(5); else attack(5);}},Plasma Gun,COUNTDOWN,12,GRAY,,,,_cure,0,NO,NO,,,,,,,,,,,,,
